Entity,Field,Value
academic-catalogs,description,A catalog listing the courses offered by a an organization.
academic-catalogs,type,object
academic-catalogs,properties.metadata.title,Metadata
academic-catalogs,properties.metadata.description,Metadata about the JSON payload
academic-catalogs,properties.metadata.type,object
academic-catalogs,properties.metadata.properties.createdBy.title,Created By
academic-catalogs,properties.metadata.properties.createdBy.description,The name of the originator (user or system) of the data. This is informational only, do not use in business logic!
academic-catalogs,properties.metadata.properties.createdBy.type,string
academic-catalogs,properties.metadata.properties.createdOn.title,Created On
academic-catalogs,properties.metadata.properties.createdOn.description,The date and time when the entity instance was created
academic-catalogs,properties.metadata.properties.createdOn.oneOf.type,string
academic-catalogs,properties.metadata.properties.createdOn.oneOf.format,date-time
academic-catalogs,properties.metadata.properties.createdOn.oneOf.pattern,^(-?(?:[1-9][0-9]*)?[0-9]{4})-(1[0-2]|0[1-9])-(3[0-1]|0[1-9]|[1-2][0-9])T(2[0-3]|[0-1][0-9]):([0-5][0-9]):([0-5][0-9])(\.[0-9]+)?(Z|[+-](?:2[0-3]|[0-1][0-9]):[0-5][0-9])?$
academic-catalogs,properties.metadata.properties.createdOn.oneOf.type,string
academic-catalogs,properties.metadata.properties.createdOn.oneOf.maxLength,
academic-catalogs,properties.metadata.properties.modifiedBy.title,Modified By
academic-catalogs,properties.metadata.properties.modifiedBy.description,The name of the modifier (user or system) of the data. This is informational only, do not use in business logic!
academic-catalogs,properties.metadata.properties.modifiedBy.type,string
academic-catalogs,properties.metadata.properties.modifiedOn.title,Modified On
academic-catalogs,properties.metadata.properties.modifiedOn.description,The date and time when the entity instance was last modified
academic-catalogs,properties.metadata.properties.modifiedOn.oneOf.type,string
academic-catalogs,properties.metadata.properties.modifiedOn.oneOf.format,date-time
academic-catalogs,properties.metadata.properties.modifiedOn.oneOf.pattern,^(-?(?:[1-9][0-9]*)?[0-9]{4})-(1[0-2]|0[1-9])-(3[0-1]|0[1-9]|[1-2][0-9])T(2[0-3]|[0-1][0-9]):([0-5][0-9]):([0-5][0-9])(\.[0-9]+)?(Z|[+-](?:2[0-3]|[0-1][0-9]):[0-5][0-9])?$
academic-catalogs,properties.metadata.properties.modifiedOn.oneOf.type,string
academic-catalogs,properties.metadata.properties.modifiedOn.oneOf.maxLength,
academic-catalogs,properties.metadata.additionalProperties,false
academic-catalogs,properties.id.title,ID
academic-catalogs,properties.id.description,A global identifier of an academic catalog to be used in all external references.
academic-catalogs,properties.id.type,string
academic-catalogs,properties.id.format,guid
academic-catalogs,properties.id.pattern,^[a-f0-9]{8}(?:-[a-f0-9]{4}){3}-[a-f0-9]{12}$
academic-catalogs,properties.title.title,Title
academic-catalogs,properties.title.description,The full name of an academic catalog.
academic-catalogs,properties.title.type,string
academic-catalogs,properties.title.minLength,1
academic-catalogs,properties.description.title,Description
academic-catalogs,properties.description.description,A full description of an academic catalog.
academic-catalogs,properties.description.type,string
academic-catalogs,properties.code.title,Code
academic-catalogs,properties.code.description,The code that identifies the academic catalog
academic-catalogs,properties.code.type,string
academic-catalogs,properties.startOn.title,Start Date
academic-catalogs,properties.startOn.description,The initial date when an academic catalog is in effect.
academic-catalogs,properties.startOn.oneOf.type,string
academic-catalogs,properties.startOn.oneOf.format,date-time
academic-catalogs,properties.startOn.oneOf.pattern,^(-?(?:[1-9][0-9]*)?[0-9]{4})-(1[0-2]|0[1-9])-(3[0-1]|0[1-9]|[1-2][0-9])T(2[0-3]|[0-1][0-9]):([0-5][0-9]):([0-5][0-9])(\.[0-9]+)?(Z|[+-](?:2[0-3]|[0-1][0-9]):[0-5][0-9])?$
academic-catalogs,properties.startOn.oneOf.type,string
academic-catalogs,properties.startOn.oneOf.maxLength,
academic-catalogs,properties.endOn.title,End Date
academic-catalogs,properties.endOn.description,The last date when an academic catalog is in effect.
academic-catalogs,properties.endOn.oneOf.type,string
academic-catalogs,properties.endOn.oneOf.format,date-time
academic-catalogs,properties.endOn.oneOf.pattern,^(-?(?:[1-9][0-9]*)?[0-9]{4})-(1[0-2]|0[1-9])-(3[0-1]|0[1-9]|[1-2][0-9])T(2[0-3]|[0-1][0-9]):([0-5][0-9]):([0-5][0-9])(\.[0-9]+)?(Z|[+-](?:2[0-3]|[0-1][0-9]):[0-5][0-9])?$
academic-catalogs,properties.endOn.oneOf.type,string
academic-catalogs,properties.endOn.oneOf.maxLength,
academic-catalogs,properties.status.title,Status
academic-catalogs,properties.status.description,A status of an academic catalog. 
academic-catalogs,properties.status.enum,active;inactive
academic-catalogs,properties.status.type,string
academic-catalogs,properties.organization.title,Organization
academic-catalogs,properties.organization.description,The organization which owns the academic catalog
academic-catalogs,properties.organization.oneOf.type,object
academic-catalogs,properties.organization.oneOf.properties.id.title,ID
academic-catalogs,properties.organization.oneOf.properties.id.description,The global identifier for Organization
academic-catalogs,properties.organization.oneOf.properties.id.type,string
academic-catalogs,properties.organization.oneOf.properties.id.format,guid
academic-catalogs,properties.organization.oneOf.properties.id.pattern,^[a-f0-9]{8}(?:-[a-f0-9]{4}){3}-[a-f0-9]{12}$
academic-catalogs,properties.organization.oneOf.links.rel,self
academic-catalogs,properties.organization.oneOf.links.href,/organizations/{id}
